id,price_doc
30474,5588467.0
30475,8337488.0
30476,5357198.0
30477,5818290.0
30478,5060125.5
30479,8918286.0
30480,4435952.0
30481,4370374.5
30482,4629614.0
30483,4796243.0
30484,6589893.5
30485,4987927.0
30486,3789985.25
30487,4333536.0
30488,6689814.5
30489,6321081.0
30490,21343604.0
30491,16812516.0
30492,6001356.5
30493,14607079.0
30494,7140571.0
30495,10464227.0
30496,8401429.0
30497,8654894.0
30498,4785036.0
30499,7157697.5
30500,11917290.0
30501,6764206.5
30502,3267177.5
30503,5503080.0
30504,6162270.0
30505,11413256.0
30506,3201174.75
30507,4928584.0
30508,5520505.5
30509,6840045.5
30510,9346301.0
30511,6698567.0
30512,5204654.5
30513,4440282.0
30514,3372914.75
30515,9847365.0
30516,5843017.5
30517,10168755.0
30518,7372691.0
30519,4736632.5
30520,6987530.0
30521,6174182.0
30522,7714792.0
30523,6976676.5
30524,10262398.0
30525,10401981.0
30526,4961232.0
30527,5179851.0
30528,6561285.5
30529,6463561.5
30530,6048431.5
30531,14318789.0
30532,4711062.0
30533,10794276.0
30534,7167752.5
30535,9561284.0
30536,5573649.5
30537,12014791.0
30538,4686090.0
30539,8593678.0
30540,9751928.0
30541,5671754.0
30542,2274898.5
30543,5548077.0
30544,6831369.0
30545,8556461.0
30546,4219514.5
30547,10023962.0
30548,4522046.0
30549,5211046.5
30550,12433382.0
30551,5174839.5
30552,2099749.75
30553,6762220.0
30554,11474678.0
30555,6373854.0
30556,8979785.0
30557,7432117.5
30558,8611267.0
30559,6343993.5
30560,6092110.0
30561,6621183.0
30562,11358378.0
30563,4402539.5
30564,6930640.5
30565,6544475.0
30566,7373556.0
30567,2269126.25
30568,10056920.0
30569,9953413.0
30570,6292151.5
30571,7519710.5
30572,5037942.0
30573,6501619.5
30574,6715127.0
30575,7967873.0
30576,4957301.5
30577,3968148.75
30578,3175745.0
30579,7409181.0
30580,4537303.5
30581,5260398.5
30582,12165348.0
30583,7278073.5
30584,4462590.5
30585,2875993.5
30586,9245927.0
30587,6067034.0
30588,7938641.0
30589,7115331.0
30590,12609586.0
30591,4789547.0
30592,6826172.0
30593,8226329.5
30594,6922826.0
30595,5330869.5
30596,7020473.5
30597,6437189.5
30598,9653640.0
30599,10862681.0
30600,5050440.0
30601,6197378.0
30602,2141253.5
30603,12301332.0
30604,4571403.0
30605,6548083.0
30606,15037163.0
30607,6358858.0
30608,9279902.0
30609,6326153.0
30610,3158408.25
30611,5527891.5
30612,7607574.0
30613,8476242.0
30614,17373918.0
30615,7834093.0
30616,5623662.0
30617,9976221.0
30618,4965108.0
30619,3891331.0
30620,2815706.75
30621,8712716.0
30622,7602736.5
30623,5701446.0
30624,7081577.5
30625,7692516.5
30626,6421113.5
30627,6764161.5
30628,6368076.0
30629,5072441.0
30630,4212462.5
30631,6430600.0
30632,4169325.75
30633,6067612.5
30634,11028189.0
30635,9759538.0
30636,5291791.0
30637,9816422.0
30638,6210524.5
30639,7749213.0
30640,4701892.0
30641,8095031.5
30642,6313995.5
30643,8080847.0
30644,9647437.0
30645,7098251.0
30646,5292321.0
30647,4962793.5
30648,25588496.0
30649,2688604.0
30650,4939501.0
30651,3204681.25
30652,4607982.0
30653,7142811.5
30654,4680119.0
30655,11532648.0
30656,3978311.25
30657,6059147.0
30658,10104123.0
30659,4970291.0
30660,8111484.0
30661,6462113.0
30662,8133250.5
30663,16614237.0
30664,12403394.0
30665,6295597.0
30666,2530787.5
30667,4214319.0
30668,9287870.0
30669,5106455.5
30670,2577070.25
30671,7177514.0
30672,13848023.0
30673,11083691.0
30674,11652266.0
30675,2250883.75
30676,6464430.5
30677,4128745.0
30678,14103977.0
30679,6163951.0
30680,5343875.0
30681,2412072.25
30682,8599786.0
30683,9894263.0
30684,3811112.25
30685,6925526.5
30686,9447332.0
30687,5063191.0
30688,4614556.5
30689,13393041.0
30690,26169640.0
30691,4848866.0
30692,6667694.0
30693,9514748.0
30694,5793528.5
30695,7492823.0
30696,6953494.5
30697,11991416.0
30698,7143206.5
30699,5636118.5
30700,5019593.5
30701,9646793.0
30702,6076901.0
30703,3948643.25
30704,11723850.0
30705,8668566.0
30706,26738930.0
30707,3790372.0
30708,14589398.0
30709,6189616.5
30710,7117258.0
30711,4697562.5
30712,4078340.5
30713,5671262.0
30714,7056041.5
30715,3978565.5
30716,9748320.0
30717,6797730.5
30718,9539516.0
30719,14961521.0
30720,6895040.5
30721,3871582.75
30722,7123886.0
30723,6561761.0
30724,12780266.0
30725,6491848.5
30726,11901162.0
30727,9865111.0
30728,11865486.0
30729,3539723.0
30730,5884595.0
30731,6545498.5
